HorseID,Rtg,Sire,Pla,RaceDate,Dist,FinishTime,DeclarHorseWt
A128,63,Swiss Ace,2,2017-12-20,1200,1.09.73,996
A171,66,Snitzel,3,2017-12-20,1200,1.09.74,1072
T341,77,Commands,11,2017-12-20,1200,1.10.57,1092
P310,75,Not A Single Doubt,2,2015-12-27,1000,0.56.77,1114
V002,68,Not A Single Doubt,1,2015-12-27,1000,0.56.77,1118
M273,59,Flying Spur,12,2014-01-01,1200,1.12.30,1228
B041,52,Showcasing,13,2017-12-23,1200,1.11.24,1034
B042,52,Showcasing,10,2017-12-23,1200,1.10.57,1045
T280,35,Flying Spur,12,2016-01-01,1800,1.50.04,992
A207,56,Not A Single Doubt,5,2017-12-23,1400,1.23.42,1058
A290,62,Makfi,1,2017-12-23,1400,1.22.55,1153
M273,49,Flying Spur,7,2016-01-01,1000,0.58.14,1241
A074,80,Swiss Ace,9,2016-12-27,1000,0.58.85,1157
V002,75,Not A Single Doubt,8,2016-12-27,1000,0.58.44,1117
A222,46,More Than Ready,11,2017-12-23,1400,1.23.78,1089
V250,52,Duke Of Marmalade,2,2017-12-23,1400,1.23.10,1215
T098,78,Duke Of Marmalade,1,2016-12-27,1650,1.38.72,1197
T341,59,Commands,5,2016-01-01,1200,1.10.59,1095
V150,82,Snitzel,9,2016-12-27,1400,1.22.64,1141
T281,77,More Than Ready,8,2017-12-23,1650,1.38.77,1133
V381,63,Sebring,3,2017-12-23,1650,1.38.23,1135
T345,46,Commands,2,2017-01-01,1000,0.57.64,1071
V306,55,Snitzel,4,2017-01-01,1000,0.57.82,1149
A002,88,Duke Of Marmalade,8,2017-12-23,2000,2.03.07,1080
A067,71,Makfi,10,2017-12-23,1400,1.23.20,1155
A338,80,Snitzel,4,2017-12-23,1400,1.22.28,1115
V258,45,Not A Single Doubt,12,2017-01-01,1600,1.36.93,1135
S419,79,Commands,4,2016-01-01,1400,1.22.53,1092
A024,80,Sebring,2,2017-01-01,1200,1.09.73,1085
V341,66,More Than Ready,11,2017-01-01,1200,1.10.75,1134
M273,68,Flying Spur,9,2013-01-09,1200,1.11.35,1233
